project_id,project_title,project_description,data_type,data_quality,scientific_name,taxonomic_rank,disease_name,phenotype_a,phenotype_a_mesh_id,phenotype_b,negative_enriched_in,positive_enriched_in,effect_type,lda_score,association_url,citation
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Alistipes putredinis,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-4.441,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Alistipes onderdonkii,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-4.191,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Phocaeicola massiliensis,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-4.140,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Candidatus Cibionibacter quicibialis,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-4.095,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Waltera acetigignens,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.937,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Alistipes finegoldii,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.837,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Bacteroides cellulosilyticus,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.821,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Coprococcus eutactus,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.667,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Pseudoruminococcus massiliensis,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.654,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Vescimonas coprocola,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.616,https://gmrepo.humangut.info/data/project/PRJNA705217,
PRJNA705217,Gut metagenomes of patients with post-infection IBS,Gut metagenomes of patients with post-infection irritable bowel syndrome and healthy volunteers with sample proteolytic activity,metagenomics,curated,Parabacteroides johnsonii,species,Irritable Bowel Syndrome,Health,D006262,Irritable Bowel Syndrome,Health,Irritable Bowel Syndrome,LDA,-3.511,https://gmrepo.humangut.info/data/project/PRJNA705217,
