project_id,project_title,project_description,data_type,data_quality,scientific_name,taxonomic_rank,ncbi_tax_id,disease_name,mesh_id,phenotype_a,phenotype_a_mesh_id,phenotype_b,phenotype_b_mesh_id,negative_enriched_in,positive_enriched_in,method,effect_type,lda_score,association_url,source_database
PRJNA682378,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,16S,curated,Bacteroides,genus,816,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-4.66166326153861,https://gmrepo.humangut.info/data/project/PRJNA682378/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Ruminococcus,genus,1263,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-4.3074866712335,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Segatella,genus,2974251,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-4.29812518870401,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJNA637763,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,16S,curated,Ruminococcus,genus,1263,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-4.17295737779042,https://gmrepo.humangut.info/data/project/PRJNA637763/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Coprococcus eutactus,species,33043,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-4.16956897674993,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Segatella copri,species,165179,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-4.16402518753682,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Akkermansia,genus,239934,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-4.14987028772653,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Coprococcus,genus,33042,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-4.14666507390989,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJNA637763,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,16S,curated,Fusicatenibacter,genus,1407607,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-4.10332162030666,https://gmrepo.humangut.info/data/project/PRJNA637763/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Faecalibacterium,genus,216851,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-4.09395994248136,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJNA682378,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,16S,curated,Alistipes,genus,239759,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-4.02340041879354,https://gmrepo.humangut.info/data/project/PRJNA682378/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Ruminococcus bromii,species,40518,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-4.00034142277059,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJNA637763,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,16S,curated,Eubacterium,genus,1730,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.98479401645717,https://gmrepo.humangut.info/data/project/PRJNA637763/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Faecalibacterium prausnitzii,species,853,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.95436705304651,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Lachnospira,genus,28050,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.92146214622744,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJNA637763,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,16S,curated,Collinsella,genus,102106,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.91492832274683,https://gmrepo.humangut.info/data/project/PRJNA637763/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Prevotella,genus,838,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.80346051813368,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Lachnospira pectinoschiza,species,28052,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.79430208063855,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Bifidobacterium adolescentis,species,1680,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.75151825938142,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Oliverpabstia,genus,2815777,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.7174215144826,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
PRJEB37924,GMrepo curated Health vs. Irritable Bowel Syndrome,Curated project-level marker taxa from GMrepo,mNGS,curated,Oscillibacter,genus,459786,Irritable Bowel Syndrome,D043183,Health,D006262,Irritable Bowel Syndrome,D043183,Health,Irritable Bowel Syndrome,LEfSe,LDA,-3.62594593431266,https://gmrepo.humangut.info/data/project/PRJEB37924/D006262/D043183,GMrepo
